Nested Sampling Global Log-Evidence           :   -0.112219202077595241E+03  +/-    0.793290395111819757E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.112219202077595241E+03 +/-    0.793290395111819757E-01
Local Log-Evidence   -0.112219202077595241E+03 +/-    0.793290395111819757E-01

Dim No.       Mean        Sigma
   1   -0.227740731364368854E+01    0.523916333749135821E+00
   2   -0.189590375158666191E+01    0.744965060062588003E+00
   3    0.157556530975785335E-01    0.123068072324162073E-01
   4    0.832424264567615296E+03    0.478652393518248232E+03
   5    0.515198561852610695E+02    0.819070653103254998E+00
   6    0.339401977573836056E-01    0.199368799212672650E-01
   7   -0.436884241497748071E+01    0.143330685234363342E+01
   8    0.242879199587159045E+01    0.130696399328199264E+00
   9   -0.245718949153969413E+00    0.382593014491900141E+00
  10   -0.147982459855614024E+01    0.131757001185530576E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.299663822592977125E+01
   2   -0.277468791289575201E+01
   3    0.310078292569441714E-01
   4    0.492418764725784285E+03
   5    0.504419229218145588E+02
   6    0.347726275894542358E-01
   7   -0.420758112058087619E+01
   8    0.243875409769808638E+01
   9   -0.931831713128596917E-01
  10   -0.233844542281847367E+00

MAP Parameters
Dim No.        Parameter
   1   -0.299663822592977125E+01
   2   -0.277468791289575201E+01
   3    0.310078292569441714E-01
   4    0.492418764725784285E+03
   5    0.504419229218145588E+02
   6    0.347726275894542358E-01
   7   -0.420758112058087619E+01
   8    0.243875409769808638E+01
   9   -0.931831713128596917E-01
  10   -0.233844542281847367E+00
