Nested Sampling Global Log-Evidence           :   -0.108678634771001470E+03  +/-    0.839538587955593330E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.108678634771001470E+03 +/-    0.839538587955593330E-01
Local Log-Evidence   -0.108678634771001470E+03 +/-    0.839538587955593330E-01

Dim No.       Mean        Sigma
   1   -0.177929206681972141E+01    0.491991372587648912E+00
   2   -0.140811056833186754E+01    0.282983408186599839E+00
   3   -0.854069232267623657E+00    0.205644517277631000E+00
   4    0.153155959501223033E-01    0.116684211864253179E-01
   5    0.803479672230558208E+03    0.369225366045124417E+03
   6    0.513370231738847593E+02    0.743746961597574252E+00
   7    0.352299713295233449E-01    0.173630508712993084E-01
   8   -0.455933678767151918E+01    0.111741228450209662E+01
   9    0.246841121550462450E+01    0.128489726425097012E+00
  10   -0.195562986208070971E+00    0.285124331871782655E+00
  11   -0.121636301554472404E+01    0.101380963520291689E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.136485045116099357E+01
   2   -0.152092241573946563E+01
   3   -0.801240530035055798E+00
   4    0.728600154948654769E-02
   5    0.657883280028808485E+03
   6    0.505059338071222896E+02
   7    0.424124187654056767E-01
   8   -0.475113189247608325E+01
   9    0.251719801771336060E+01
  10   -0.154496127363699109E+00
  11   -0.536953319662103468E-01

MAP Parameters
Dim No.        Parameter
   1   -0.136485045116099357E+01
   2   -0.152092241573946563E+01
   3   -0.801240530035055798E+00
   4    0.728600154948654769E-02
   5    0.657883280028808485E+03
   6    0.505059338071222896E+02
   7    0.424124187654056767E-01
   8   -0.475113189247608325E+01
   9    0.251719801771336060E+01
  10   -0.154496127363699109E+00
  11   -0.536953319662103468E-01
