Nested Sampling Global Log-Evidence           :   -0.115322462886059071E+03  +/-    0.763934404762317554E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.115322462886059071E+03 +/-    0.763934404762317554E-01
Local Log-Evidence   -0.115322462886059071E+03 +/-    0.763934404762317554E-01

Dim No.       Mean        Sigma
   1    0.315668794471848635E+02    0.155995674298340603E+02
   2    0.301125752379209251E-01    0.164785641652468937E-01
   3    0.191537204873173914E+04    0.679762666737022414E+03
   4    0.519058816518570083E+02    0.744263517948343778E+00
   5    0.496823333740614853E-01    0.240579550574492630E-01
   6   -0.407990758851698132E+01    0.102867496717966977E+01
   7    0.246346274047407032E+01    0.119342158035700932E+00
   8   -0.209811211445546264E+00    0.167244517776105411E+00
   9   -0.168744466296197060E+01    0.986484924557238019E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.521057350520373959E+02
   2    0.479371084314362400E-01
   3    0.124746951497610348E+04
   4    0.508561268352737557E+02
   5    0.792950239917937505E-01
   6   -0.327869517743976946E+01
   7    0.243063758357244941E+01
   8   -0.596787974759607209E-01
   9   -0.102513488120405682E+01

MAP Parameters
Dim No.        Parameter
   1    0.521057350520373959E+02
   2    0.479371084314362400E-01
   3    0.124746951497610348E+04
   4    0.508561268352737557E+02
   5    0.792950239917937505E-01
   6   -0.327869517743976946E+01
   7    0.243063758357244941E+01
   8   -0.596787974759607209E-01
   9   -0.102513488120405682E+01
