Nested Sampling Global Log-Evidence           :   -0.115468291088621669E+03  +/-    0.795317010314172956E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.115468291088621669E+03 +/-    0.795317010314172956E-01
Local Log-Evidence   -0.115468291088621669E+03 +/-    0.795317010314172956E-01

Dim No.       Mean        Sigma
   1    0.240518941929309497E-01    0.146374816765509463E-01
   2    0.179064818322473252E+04    0.702074425877138083E+03
   3    0.516228175914293104E+02    0.655300725230812064E+00
   4    0.114460969324810785E+00    0.657861931877729011E-01
   5    0.755376277573214239E-01    0.667562502573867539E-01
   6   -0.377666327315412698E+01    0.988272404074096444E+00
   7    0.245411619122211766E+01    0.120784655674465030E+00
   8   -0.173509944209909589E+00    0.151007959551236998E+00
   9   -0.148991759162945225E+01    0.855369067012113904E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.198060587710440252E-01
   2    0.145024869932342790E+04
   3    0.511791253813230753E+02
   4    0.153526980690127296E+00
   5    0.418765525487591189E-01
   6   -0.445586212404767323E+01
   7    0.239881143574247124E+01
   8   -0.271668856008421500E+00
   9   -0.324442360782901673E+00

MAP Parameters
Dim No.        Parameter
   1    0.198060587710440252E-01
   2    0.145024869932342790E+04
   3    0.511791253813230753E+02
   4    0.153526980690127296E+00
   5    0.418765525487591189E-01
   6   -0.445586212404767323E+01
   7    0.239881143574247124E+01
   8   -0.271668856008421500E+00
   9   -0.324442360782901673E+00
