Nested Sampling Global Log-Evidence           :   -0.115410012154044580E+03  +/-    0.765818453424904066E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.115410012154044580E+03 +/-    0.765818453424904066E-01
Local Log-Evidence   -0.115410012154044580E+03 +/-    0.765818453424904066E-01

Dim No.       Mean        Sigma
   1    0.306833697464508580E-01    0.177124444608076810E-01
   2    0.186208522682057219E+04    0.704425378524069060E+03
   3    0.519127870688163213E+02    0.838573835170474902E+00
   4    0.502204442680281027E-01    0.258346564782575214E-01
   5   -0.410101092591206662E+01    0.103503651145159381E+01
   6    0.246523179666110259E+01    0.120336839899990236E+00
   7   -0.201647282936569416E+00    0.169333140646951236E+00
   8   -0.173722628913204447E+01    0.106854665243821345E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.443888861927409506E-01
   2    0.290830179743506551E+04
   3    0.516257269748977947E+02
   4    0.708679322516200944E-01
   5   -0.263639412590260847E+01
   6    0.242951371656560866E+01
   7   -0.101593658684429045E+00
   8   -0.181152160181684252E+01

MAP Parameters
Dim No.        Parameter
   1    0.443888861927409506E-01
   2    0.290830179743506551E+04
   3    0.516257269748977947E+02
   4    0.708679322516200944E-01
   5   -0.263639412590260847E+01
   6    0.242951371656560866E+01
   7   -0.101593658684429045E+00
   8   -0.181152160181684252E+01
