Nested Sampling Global Log-Evidence           :   -0.163506722376700139E+03  +/-    0.882366153221588456E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.163506722376700139E+03 +/-    0.882366153221588456E-01
Local Log-Evidence   -0.163506722376700139E+03 +/-    0.882366153221588456E-01

Dim No.       Mean        Sigma
   1   -0.234946306317907716E+01    0.501865001795178234E+00
   2   -0.194675181180511458E+01    0.760622532050307498E+00
   3    0.144621318464728532E-01    0.997729626251552329E-02
   4    0.816568818069360759E+03    0.406750725754286918E+03
   5    0.511301227601201518E+02    0.524553948340617748E+00
   6    0.407868162270000403E-01    0.326284039181667235E-01
   7    0.790376831850183453E-01    0.474296708380760462E-01
   8   -0.446583887726241535E+01    0.778292539728488442E+00
   9    0.246871914543810789E+01    0.892610919226674571E-01
  10   -0.129337912800133403E+00    0.114137055931460646E+00
  11   -0.925259685954809785E+00    0.643602079285603756E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.287292230800469461E+01
   2   -0.273500246891581078E+01
   3    0.362301274033713788E-01
   4    0.515607575372695123E+03
   5    0.506439185246356018E+02
   6    0.231951134458551131E-01
   7    0.671988709382400351E-01
   8   -0.401002649502255615E+01
   9    0.234322609139167382E+01
  10   -0.443416361003539095E-01
  11   -0.189048217540992880E+00

MAP Parameters
Dim No.        Parameter
   1   -0.287292230800469461E+01
   2   -0.273500246891581078E+01
   3    0.362301274033713788E-01
   4    0.515607575372695123E+03
   5    0.506439185246356018E+02
   6    0.231951134458551131E-01
   7    0.671988709382400351E-01
   8   -0.401002649502255615E+01
   9    0.234322609139167382E+01
  10   -0.443416361003539095E-01
  11   -0.189048217540992880E+00
