Nested Sampling Global Log-Evidence           :   -0.161729192476173324E+03  +/-    0.841625020838520227E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.161729192476173324E+03 +/-    0.841625020838520227E-01
Local Log-Evidence   -0.161729192476173324E+03 +/-    0.841625020838520227E-01

Dim No.       Mean        Sigma
   1   -0.235531691927171538E+01    0.511933348362999197E+00
   2   -0.200254876898177603E+01    0.762322888526747677E+00
   3    0.136080552085495882E-01    0.915921925480337774E-02
   4    0.709699248949819435E+03    0.296711147650021132E+03
   5    0.513159991658158816E+02    0.628748389343598557E+00
   6    0.287953384444296530E-01    0.125260013626268211E-01
   7   -0.477465641696684706E+01    0.780102046132382210E+00
   8    0.245434261823963018E+01    0.965993909350459229E-01
   9   -0.152561367451732072E+00    0.133236768795727739E+00
  10   -0.111504929369304917E+01    0.796350514176407565E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.298007991673236550E+01
   2   -0.286579215267612453E+01
   3    0.235746681325162168E-01
   4    0.536849288878251400E+03
   5    0.508381164326424653E+02
   6    0.247381846150721771E-01
   7   -0.468787151867996954E+01
   8    0.245158287019270116E+01
   9   -0.112709644743532955E+00
  10   -0.400103893634360830E+00

MAP Parameters
Dim No.        Parameter
   1   -0.298007991673236550E+01
   2   -0.286579215267612453E+01
   3    0.235746681325162168E-01
   4    0.536849288878251400E+03
   5    0.508381164326424653E+02
   6    0.247381846150721771E-01
   7   -0.468787151867996954E+01
   8    0.245158287019270116E+01
   9   -0.112709644743532955E+00
  10   -0.400103893634360830E+00
