Nested Sampling Global Log-Evidence           :   -0.166727043932430234E+03  +/-    0.840505096919405836E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.166727043932430234E+03 +/-    0.840505096919405836E-01
Local Log-Evidence   -0.166727043932430234E+03 +/-    0.840505096919405836E-01

Dim No.       Mean        Sigma
   1    0.327385109096342006E+02    0.154770007148213669E+02
   2    0.202994008294032392E-01    0.122625637889807338E-01
   3    0.185677519310043340E+04    0.681291942378607928E+03
   4    0.516881417615111403E+02    0.648723812765432561E+00
   5    0.120177276455980031E+00    0.617647171406148568E-01
   6    0.557488887047535575E-01    0.493850184202925119E-01
   7   -0.389668115271954507E+01    0.923443055468870400E+00
   8    0.244485674669021513E+01    0.104952240296025942E+00
   9   -0.172687767585791518E+00    0.135598367619086863E+00
  10   -0.148035008280198643E+01    0.838077434111120345E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.337987097343175975E+02
   2    0.143099881024552015E-02
   3    0.281683706121992282E+04
   4    0.516239997257095524E+02
   5    0.893983979302412773E-01
   6    0.295266766016911569E-01
   7   -0.413241439723641335E+01
   8    0.218560175730514406E+01
   9   -0.152726085020294278E+00
  10   -0.367528616150313070E+00

MAP Parameters
Dim No.        Parameter
   1    0.337987097343175975E+02
   2    0.143099881024552015E-02
   3    0.281683706121992282E+04
   4    0.516239997257095524E+02
   5    0.893983979302412773E-01
   6    0.295266766016911569E-01
   7   -0.413241439723641335E+01
   8    0.218560175730514406E+01
   9   -0.152726085020294278E+00
  10   -0.367528616150313070E+00
