Nested Sampling Global Log-Evidence           :   -0.167306935735538332E+03  +/-    0.790389495495394251E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.167306935735538332E+03 +/-    0.790389495495394251E-01
Local Log-Evidence   -0.167306935735538332E+03 +/-    0.790389495495394251E-01

Dim No.       Mean        Sigma
   1    0.319333536835855050E+02    0.157123115918877474E+02
   2    0.292226642675975888E-01    0.146749635278509531E-01
   3    0.188300386537999202E+04    0.692372136691406922E+03
   4    0.518989575344093126E+02    0.799607660683910981E+00
   5    0.495254767184728148E-01    0.230567436449359391E-01
   6   -0.408470883088128822E+01    0.100678692904564637E+01
   7    0.248554182629511811E+01    0.971880395558993998E-01
   8   -0.201545140970342512E+00    0.163933663495366727E+00
   9   -0.174849424875723014E+01    0.100424135472785792E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.475945508530013655E+02
   2    0.527503753853596352E-01
   3    0.157757026653445178E+04
   4    0.510330070757470722E+02
   5    0.889385740791579643E-01
   6   -0.271539072968773842E+01
   7    0.253842021903696891E+01
   8   -0.369569080006026951E-01
   9   -0.155068844528427974E+01

MAP Parameters
Dim No.        Parameter
   1    0.475945508530013655E+02
   2    0.527503753853596352E-01
   3    0.157757026653445178E+04
   4    0.510330070757470722E+02
   5    0.889385740791579643E-01
   6   -0.271539072968773842E+01
   7    0.253842021903696891E+01
   8   -0.369569080006026951E-01
   9   -0.155068844528427974E+01
